TOTAL,SW,EB,INST_TOT,INST_SW,INST_EB,STATE,YEAR
4169.0,2645.0,958.0,2732.0,1871.0,664.0,Utah,1999
7541.0,4720.0,1142.0,4837.0,3412.0,819.0,Vermont,1999
6285.0,4333.0,1183.0,3879.0,2852.0,781.0,Virginia,1999
6116.0,3868.0,1143.0,3651.0,2533.0,747.0,Washington,1999
6626.0,4111.0,1645.0,4090.0,2779.0,1092.0,West Virginia,1999
7413.0,4508.0,1625.0,4642.0,3188.0,1113.0,Wisconsin,1999
6836.0,4325.0,1291.0,4101.0,2891.0,843.0,Wyoming,1999
7701.0,5023.0,1321.0,4722.0,3407.0,884.0,  United States,2002
6115.0,3860.0,1123.0,3743.0,2625.0,722.0,Alabama,2002
9586.0,5723.0,1638.0,5618.0,3759.0,1053.0,Alaska,2002
5524.0,3697.0,705.0,3094.0,2362.0,442.0,Arizona,2002
6119.0,4011.0,901.0,3774.0,2717.0,592.0,Arkansas,2002
7511.0,4941.0,1241.0,4628.0,3283.0,827.0,California,2002
6884.0,4521.0,840.0,3995.0,2983.0,541.0,Colorado,2002
10001.0,6625.0,1800.0,6263.0,4630.0,1242.0,Connecticut,2002
9271.0,5608.0,1795.0,5755.0,4055.0,1304.0,Delaware,2002
13187.0,7645.0,1595.0,6473.0,4070.0,847.0,District of Columbia,2002
6056.0,3967.0,1049.0,3512.0,2474.0,628.0,Florida,2002
7340.0,4872.0,1428.0,4688.0,3391.0,1012.0,Georgia,2002
7253.0,5014.0,964.0,4417.0,3284.0,634.0,Hawaii,2002
5923.0,3788.0,1144.0,3639.0,2598.0,764.0,Idaho,2002
8022.0,5087.0,1402.0,4823.0,3474.0,927.0,Illinois,2002
7580.0,4664.0,1867.0,4611.0,3168.0,1292.0,Indiana,2002
7305.0,4963.0,1326.0,4342.0,3226.0,850.0,Iowa,2002
7052.0,4522.0,945.0,4166.0,2972.0,592.0,Kansas,2002
6493.0,4362.0,1115.0,3971.0,2951.0,745.0,Kentucky,2002
6519.0,4258.0,1132.0,3976.0,2888.0,769.0,Louisiana,2002
8351.0,5163.0,1933.0,5450.0,3681.0,1323.0,Maine,2002
8507.0,5541.0,1632.0,5209.0,3771.0,1123.0,Maryland,2002
9856.0,6388.0,1783.0,6142.0,4375.0,1315.0,Massachusetts,2002
8489.0,5339.0,1922.0,4858.0,3311.0,1184.0,Michigan,2002
7691.0,5211.0,1330.0,4895.0,3574.0,930.0,Minnesota,2002
5382.0,3423.0,911.0,3224.0,2348.0,601.0,Mississippi,2002
7018.0,4702.0,1020.0,4275.0,3162.0,660.0,Missouri,2002
7027.0,4213.0,1149.0,4363.0,2915.0,783.0,Montana,2002
7418.0,4608.0,1260.0,4704.0,3210.0,895.0,Nebraska,2002
6034.0,3934.0,1124.0,3766.0,2626.0,749.0,Nevada,2002
7750.0,4829.0,1329.0,4913.0,3548.0,976.0,New Hampshire,2002
11436.0,7413.0,1855.0,6608.0,4888.0,1129.0,New Jersey,2002
6606.0,4256.0,1093.0,3733.0,2752.0,690.0,New Mexico,2002
11546.0,7590.0,2028.0,7945.0,5755.0,1601.0,New York,2002
6511.0,4599.0,904.0,4119.0,3174.0,607.0,North Carolina,2002
6728.0,4218.0,1131.0,4112.0,2954.0,807.0,North Dakota,2002
8100.0,5196.0,1552.0,4661.0,3317.0,939.0,Ohio,2002
6256.0,3814.0,865.0,3529.0,2545.0,572.0,Oklahoma,2002
7621.0,4490.0,1821.0,4461.0,2922.0,1167.0,Oregon,2002
8841.0,5550.0,1432.0,5440.0,3908.0,956.0,Pennsylvania,2002
9178.0,6005.0,1892.0,5828.0,4313.0,1285.0,Rhode Island,2002
6984.0,4527.0,1264.0,4199.0,3051.0,829.0,South Carolina,2002
6319.0,4019.0,962.0,3821.0,2776.0,649.0,South Dakota,2002
5984.0,3985.0,882.0,3875.0,2811.0,596.0,Tennessee,2002
6746.0,4672.0,723.0,4092.0,3156.0,457.0,Texas,2002
4890.0,3097.0,1055.0,3194.0,2178.0,737.0,Utah,2002
9678.0,6063.0,1695.0,6045.0,4287.0,1202.0,Vermont,2002
7501.0,5188.0,1296.0,4622.0,3468.0,855.0,Virginia,2002
6894.0,4571.0,1106.0,4144.0,3022.0,708.0,Washington,2002
7748.0,4728.0,2008.0,4773.0,3163.0,1331.0,West Virginia,2002
8574.0,5060.0,2070.0,5303.0,3535.0,1397.0,Wisconsin,2002
8667.0,5451.0,1734.0,5277.0,3632.0,1132.0,Wyoming,2002
8019.0,5182.0,1438.0,4902.0,3504.0,957.0,  United States,2003
6395.0,4030.0,1145.0,3868.0,2720.0,729.0,Alabama,2003
9919.0,5911.0,1697.0,5728.0,3860.0,1067.0,Alaska,2003
5672.0,3755.0,737.0,3168.0,2398.0,462.0,Arizona,2003
