STATE,A_MEDIAN,OCC_CAT,YEAR
Nebraska,36090,49,2008
Nebraska,28030,51,2008
Nebraska,28940,53,2008
Nevada,31020,00,2008
Nevada,78010,11,2008
Nevada,54690,13,2008
Nevada,60510,15,2008
Nevada,63920,17,2008
Nevada,54270,19,2008
Nevada,47180,21,2008
Nevada,71140,23,2008
Nevada,41110,25,2008
Nevada,41360,27,2008
Nevada,66660,29,2008
Nevada,27910,31,2008
Nevada,31470,33,2008
Nevada,20690,35,2008
Nevada,26660,37,2008
Nevada,18870,39,2008
Nevada,24270,41,2008
Nevada,30090,43,2008
Nevada,25750,45,2008
Nevada,45320,47,2008
Nevada,42330,49,2008
Nevada,28680,51,2008
Nevada,27710,53,2008
New Hampshire,33310,00,2008
New Hampshire,88600,11,2008
New Hampshire,53970,13,2008
New Hampshire,71820,15,2008
New Hampshire,62540,17,2008
New Hampshire,52370,19,2008
New Hampshire,36590,21,2008
New Hampshire,58020,23,2008
New Hampshire,40100,25,2008
New Hampshire,40570,27,2008
New Hampshire,57500,29,2008
New Hampshire,27920,31,2008
New Hampshire,36310,33,2008
New Hampshire,19250,35,2008
New Hampshire,24590,37,2008
New Hampshire,21930,39,2008
New Hampshire,25330,41,2008
New Hampshire,30310,43,2008
New Hampshire,29930,45,2008
New Hampshire,38370,47,2008
New Hampshire,39410,49,2008
New Hampshire,30490,51,2008
New Hampshire,28260,53,2008
New Jersey,37920,00,2008
New Jersey,108270,11,2008
New Jersey,65820,13,2008
New Jersey,80370,15,2008
New Jersey,72460,17,2008
New Jersey,67250,19,2008
New Jersey,46280,21,2008
New Jersey,81110,23,2008
New Jersey,49040,25,2008
New Jersey,47040,27,2008
New Jersey,68920,29,2008
New Jersey,26590,31,2008
New Jersey,43330,33,2008
New Jersey,20060,35,2008
New Jersey,24320,37,2008
New Jersey,24070,39,2008
New Jersey,27890,41,2008
New Jersey,32980,43,2008
New Jersey,18990,45,2008
New Jersey,50050,47,2008
New Jersey,43800,49,2008
New Jersey,30390,51,2008
New Jersey,28180,53,2008
New Mexico,28620,00,2008
New Mexico,71120,11,2008
New Mexico,52240,13,2008
New Mexico,63100,15,2008
New Mexico,65640,17,2008
New Mexico,64230,19,2008
New Mexico,33500,21,2008
New Mexico,48970,23,2008
New Mexico,43770,25,2008
New Mexico,33290,27,2008
New Mexico,54670,29,2008
New Mexico,21910,31,2008
New Mexico,29200,33,2008
New Mexico,15990,35,2008
New Mexico,19240,37,2008
New Mexico,18930,39,2008
New Mexico,21340,41,2008
New Mexico,26080,43,2008
New Mexico,15470,45,2008
New Mexico,31530,47,2008
New Mexico,34720,49,2008
New Mexico,27740,51,2008
New Mexico,25840,53,2008
New York,37750,00,2008
New York,106760,11,2008
New York,67260,13,2008
New York,74130,15,2008
New York,68070,17,2008
New York,58790,19,2008
New York,40480,21,2008
New York,95270,23,2008
New York,50680,25,2008
New York,53190,27,2008
New York,64260,29,2008
New York,26550,31,2008
New York,42950,33,2008
New York,19800,35,2008
New York,26420,37,2008
New York,23280,39,2008
New York,27670,41,2008
New York,32570,43,2008
New York,25700,45,2008
New York,49120,47,2008
New York,41520,49,2008
New York,29210,51,2008
New York,31330,53,2008
North Carolina,29860,00,2008
North Carolina,85300,11,2008
North Carolina,53520,13,2008
North Carolina,69650,15,2008
North Carolina,59210,17,2008
North Carolina,51370,19,2008
North Carolina,35800,21,2008
North Carolina,53260,23,2008
North Carolina,36850,25,2008
North Carolina,36090,27,2008
North Carolina,52690,29,2008
North Carolina,21880,31,2008
North Carolina,30900,33,2008
North Carolina,16330,35,2008
North Carolina,20220,37,2008
North Carolina,19100,39,2008
North Carolina,23310,41,2008
North Carolina,28750,43,2008
North Carolina,22610,45,2008
North Carolina,31180,47,2008
North Carolina,37150,49,2008
North Carolina,27000,51,2008
North Carolina,25300,53,2008
North Dakota,28720,00,2008
North Dakota,70500,11,2008
North Dakota,48210,13,2008
North Dakota,45740,15,2008
North Dakota,52300,17,2008
North Dakota,42360,19,2008
North Dakota,34560,21,2008
North Dakota,50850,23,2008
North Dakota,38810,25,2008
North Dakota,29400,27,2008
North Dakota,46130,29,2008
North Dakota,23340,31,2008
North Dakota,31490,33,2008
North Dakota,16890,35,2008
North Dakota,20740,37,2008
North Dakota,18480,39,2008
North Dakota,20910,41,2008
North Dakota,25990,43,2008
North Dakota,21830,45,2008
North Dakota,35240,47,2008
North Dakota,36600,49,2008
North Dakota,29830,51,2008
North Dakota,28630,53,2008
Ohio,31720,00,2008
Ohio,86920,11,2008
Ohio,54390,13,2008
Ohio,66330,15,2008
Ohio,62250,17,2008
Ohio,54930,19,2008
Ohio,38280,21,2008
Ohio,58630,23,2008
Ohio,48490,25,2008
Ohio,36780,27,2008
Ohio,52840,29,2008
Ohio,23370,31,2008
Ohio,35350,33,2008
Ohio,16440,35,2008
Ohio,21000,37,2008
Ohio,19950,39,2008
Ohio,22990,41,2008
Ohio,29240,43,2008
Ohio,23310,45,2008
Ohio,40820,47,2008
Ohio,38550,49,2008
Ohio,30920,51,2008
Ohio,27050,53,2008
Oklahoma,27620,00,2008
Oklahoma,62900,11,2008
Oklahoma,46150,13,2008
Oklahoma,53160,15,2008
Oklahoma,61840,17,2008
Oklahoma,47940,19,2008
Oklahoma,32950,21,2008
Oklahoma,50270,23,2008
Oklahoma,35920,25,2008
Oklahoma,29850,27,2008
Oklahoma,44200,29,2008
Oklahoma,20770,31,2008
Oklahoma,30220,33,2008
Oklahoma,15510,35,2008
Oklahoma,18580,37,2008
Oklahoma,17350,39,2008
Oklahoma,20240,41,2008
Oklahoma,25130,43,2008
Oklahoma,22680,45,2008
Oklahoma,31300,47,2008
Oklahoma,34870,49,2008
Oklahoma,26920,51,2008
Oklahoma,25360,53,2008
Oregon,32710,00,2008
Oregon,82440,11,2008
Oregon,52980,13,2008
Oregon,67990,15,2008
Oregon,62000,17,2008
Oregon,49860,19,2008
Oregon,37480,21,2008
Oregon,63810,23,2008
Oregon,40690,25,2008
Oregon,39790,27,2008
Oregon,66560,29,2008
Oregon,27250,31,2008
Oregon,40190,33,2008
Oregon,19600,35,2008
Oregon,22640,37,2008
Oregon,21400,39,2008
Oregon,25970,41,2008
Oregon,30360,43,2008
Oregon,26930,45,2008
Oregon,40350,47,2008
Oregon,40490,49,2008
Oregon,29680,51,2008
Oregon,28470,53,2008
Pennsylvania,31960,00,2008
Pennsylvania,81270,11,2008
Pennsylvania,55320,13,2008
Pennsylvania,65480,15,2008
Pennsylvania,61990,17,2008
Pennsylvania,55550,19,2008
Pennsylvania,34250,21,2008
Pennsylvania,66430,23,2008
Pennsylvania,46660,25,2008
Pennsylvania,38220,27,2008
Pennsylvania,53480,29,2008
Pennsylvania,24520,31,2008
Pennsylvania,35630,33,2008
Pennsylvania,17670,35,2008
Pennsylvania,22920,37,2008
Pennsylvania,19930,39,2008
Pennsylvania,23850,41,2008
Pennsylvania,29000,43,2008
Pennsylvania,23940,45,2008
Pennsylvania,40170,47,2008
Pennsylvania,38460,49,2008
Pennsylvania,31330,51,2008
Pennsylvania,28120,53,2008
Rhode Island,34150,00,2008
Rhode Island,94700,11,2008
Rhode Island,59370,13,2008
Rhode Island,72560,15,2008
Rhode Island,71600,17,2008
Rhode Island,61210,19,2008
Rhode Island,38340,21,2008
Rhode Island,67260,23,2008
Rhode Island,52010,25,2008
Rhode Island,43540,27,2008
Rhode Island,63000,29,2008
Rhode Island,27960,31,2008
Rhode Island,44250,33,2008
Rhode Island,18960,35,2008
Rhode Island,24770,37,2008
Rhode Island,22290,39,2008
Rhode Island,24470,41,2008
Rhode Island,31670,43,2008
Rhode Island,20090,45,2008
Rhode Island,44390,47,2008
Rhode Island,39730,49,2008
Rhode Island,28220,51,2008
Rhode Island,28980,53,2008
South Carolina,28820,00,2008
South Carolina,77270,11,2008
South Carolina,50020,13,2008
South Carolina,57680,15,2008
South Carolina,62810,17,2008
South Carolina,50220,19,2008
South Carolina,33200,21,2008
South Carolina,48960,23,2008
South Carolina,41310,25,2008
South Carolina,33430,27,2008
South Carolina,50230,29,2008
South Carolina,21670,31,2008
South Carolina,30060,33,2008
South Carolina,15960,35,2008
South Carolina,19650,37,2008
South Carolina,18830,39,2008
South Carolina,21270,41,2008
South Carolina,27390,43,2008
South Carolina,24030,45,2008
South Carolina,30960,47,2008
South Carolina,35310,49,2008
South Carolina,28860,51,2008
South Carolina,24790,53,2008
South Dakota,26650,00,2008
South Dakota,70860,11,2008
South Dakota,47400,13,2008
South Dakota,49520,15,2008
South Dakota,50690,17,2008
South Dakota,42450,19,2008
South Dakota,33360,21,2008
South Dakota,50540,23,2008
South Dakota,33820,25,2008
South Dakota,29180,27,2008
South Dakota,47400,29,2008
South Dakota,23250,31,2008
South Dakota,29870,33,2008
South Dakota,16530,35,2008
South Dakota,19870,37,2008
South Dakota,19930,39,2008
South Dakota,22080,41,2008
South Dakota,24600,43,2008
South Dakota,23690,45,2008
South Dakota,29950,47,2008
South Dakota,33710,49,2008
South Dakota,26730,51,2008
South Dakota,24670,53,2008
Tennessee,29000,00,2008
Tennessee,66870,11,2008
Tennessee,51590,13,2008
Tennessee,58410,15,2008
Tennessee,61520,17,2008
Tennessee,48300,19,2008
Tennessee,34100,21,2008
Tennessee,59970,23,2008
Tennessee,39670,25,2008
Tennessee,33660,27,2008
Tennessee,49030,29,2008
Tennessee,22670,31,2008
Tennessee,28380,33,2008
Tennessee,16140,35,2008
Tennessee,19740,37,2008
Tennessee,18690,39,2008
Tennessee,21490,41,2008
Tennessee,27640,43,2008
Tennessee,23910,45,2008
Tennessee,31090,47,2008
Tennessee,35990,49,2008
Tennessee,27990,51,2008
Tennessee,25350,53,2008
Texas,29710,00,2008
Texas,83640,11,2008
Texas,56420,13,2008
Texas,69830,15,2008
Texas,66890,17,2008
Texas,53000,19,2008
Texas,36750,21,2008
Texas,62520,23,2008
Texas,43110,25,2008
Texas,38340,27,2008
Texas,52840,29,2008
Texas,21470,31,2008
Texas,31350,33,2008
Texas,15720,35,2008
Texas,18400,37,2008
Texas,15890,39,2008
Texas,22660,41,2008
Texas,27940,43,2008
Texas,17330,45,2008
Texas,30120,47,2008
Texas,34310,49,2008
Texas,26560,51,2008
Texas,25080,53,2008
Utah,30110,00,2008
Utah,75870,11,2008
Utah,51090,13,2008
Utah,63130,15,2008
Utah,61830,17,2008
Utah,45070,19,2008
Utah,32870,21,2008
Utah,68770,23,2008
Utah,38130,25,2008
Utah,38650,27,2008
Utah,51530,29,2008
Utah,22920,31,2008
Utah,33120,33,2008
Utah,17560,35,2008
Utah,20270,37,2008
Utah,19580,39,2008
Utah,23860,41,2008
Utah,26800,43,2008
Utah,22560,45,2008
Utah,35230,47,2008
Utah,38500,49,2008
Utah,27420,51,2008
Utah,27610,53,2008
Vermont,31840,00,2008
Vermont,76840,11,2008
Vermont,53270,13,2008
